name,country,price,rating,description,attributes,duration,included,image_url,hotel_stars,season,visa
Брюссель,Бельгия,1000,4.4,Шоколад и центр Европы,"еда, город, политика",4 дня,Дегустации,https://i.pinimg.com/736x/66/5c/7e/665c7e10c679b531bc7b2d575d2637da.jpg,4*,Круглый год,Да
Копенгаген,Дания,1600,4.7,Русалочка и уют Хюгге,"город, уют, дизайн",5 дней,Завтраки,https://static.ngs.ru/cache/turizm/images/b7493933fd4ffcc09d397a93ff7c2edb_1024_768.jpg,4*,Лето,Да
Афины,Греция,850,4.6,Акрополь и древние боги,"история, архитектура, солнце",5 дней,Гид,https://i.pinimg.com/736x/2e/47/d9/2e47d92694250c42014ee502d444d5f2.jpg,4*,Лето,Да
Будапешт,Венгрия,700,4.7,Купальни и Парламент на Дунае,"история, релакс, город",5 дней,Билет в купальни,https://i.ytimg.com/vi/CVHHKQW1v-g/maxresdefault.jpg,4*,Круглый год,Да
Стамбул,Турция,600,4.9,Город на двух континентах,"история, еда, шоппинг",6 дней,Завтраки,https://on4habercom.teimg.com/crop/1280x720/on4haber-com/uploads/2023/05/istanbul-2.png,5*,Круглый год,Нет
Анталья,Турция,500,4.6,Все включено на побережье,"море, пляж, отдых",7 дней,Все включено,https://antalya-suites.com/blog/wp-content/uploads/2025/05/anagorsel-min-scaled-1.jpeg,4*,Лето,Нет
Каппадокия,Турция,800,4.9,Полеты на воздушных шарах,"пещеры, горы, шары",3 дня,Полет,https://a.d-cd.net/hMrxvT9DFYlsechScRZZS2mbkr8-1920.jpg,5*,Весна/Осень,Нет
Каир,Египет,700,4.5,Пирамиды Гизы и Нил,"история, пирамиды, пустыня",5 дней,Гид,https://upload.wikimedia.org/wikipedia/commons/d/df/Cairo_Form_Top.JPG,4*,Зима,Нет
Шарм-эль-Шейх,Египет,600,4.7,Дайвинг в Красном море,"море, кораллы, пляж",8 дней,Все включено,https://i.pinimg.com/originals/c0/2d/35/c02d35a6cddc03d61e147c8fc10475db.jpg,4*,Круглый год,Нет
Сидней,Австралия,3000,4.8,Оперный театр и серфинг,"океан, город, серфинг",10 дней,Трансфер,https://t4.ftcdn.net/jpg/07/22/95/59/360_F_722955908_YovzT1GIGii4ePMg6D6GAgMYxUf9cDr0.jpg,5*,Лето,Да
Мельбурн,Австралия,2800,4.7,Культурная столица и кофе,"город, culture, еда",9 дней,Завтраки,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Melburnian_Skyline.jpg/1280px-Melburnian_Skyline.jpg,5*,Круглый год,Да
Рио-де-Жанейро,Бразилия,2500,4.8,Статуя Христа и пляж Копакабана,"море, карнавал, горы",12 дней,Завтраки,https://i.pinimg.com/originals/d0/54/d3/d054d32f76faf19f4294885ebd4f8c8d.jpg,5*,Лето,Нет
Буэнос-Айрес,Аргентина,2400,4.6,Танго и вкуснейшие стейки,"культура, еда, танец",10 дней,Ужин,https://i.ytimg.com/vi/edsX63M8B28/maxresdefault.jpg,5*,Круглый год,Нет
Мехико,Мексика,1500,4.5,Пирамиды ацтеков и мегаполис,"история, город, еда",8 дней,Гид,https://avatars.mds.yandex.net/i?id=54cd6f0e08a64aefa376520465bd1206_l-5254505-images-thumbs&n=13,4*,Круглый год,Да
Канкун,Мексика,1800,4.8,Карибское море и древние майя,"море, пирамиды, пляж",9 дней,Все включено,https://media.istockphoto.com/id/1391487796/ru/фото/курорт-канкун-во-время-заката.jpg?s=170667a&w=0&k=20&c=OxGlR-ahWA_txfYljWixf1AuoRWdBpv1TinWB4orqOA=,5*,Зима/Весна,Да
Нью-Йорк,США,2500,4.9,Таймс-Сквер и Центральный парк,"город, шоппинг, огни",7 дней,Завтраки,https://i.pinimg.com/originals/9c/7b/d4/9c7bd486dc2d80f4525dae589c10b74c.png,5*,Круглый год,Да
Лас-Вегас,США,1800,4.7,Казино и шоу мирового уровня,"развлечения, город, казино",5 дней,Билет на шоу,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/01/00/2b/the-strip.jpg?w=1200,5*,Круглый год,Да
Сан-Франциско,США,2300,4.8,Мост Золотые ворота,"океан, город, мост",6 дней,Транспорт,https://media.istockphoto.com/id/1571494732/photo/view-of-san-francisco-city.jpg?s=612x612&w=0&k=20&c=ip9z_T3jK_zUpHiYdl8f_FEJLj3_qyq2HycOUTw6HgU=,5*,Круглый год,Да
Майами,США,1900,4.6,Пальмы и вечеринки Саут-Бич,"море, пляж, ночная жизнь",7 дней,Отель,https://as2.ftcdn.net/jpg/02/33/03/97/1000_F_233039700_7uxpfauh3qFVZZzYwV0Zu6VzOeG39jg6.jpg,4*,Зима/Весна,Да
Торонто,Канада,2100,4.7,Ниагарский водопад и телебашня,"город, природа, водопад",8 дней,Экскурсия,https://cdn.getyourguide.com/img/tour/649bc2080cb6e.jpeg/145.jpg,4*,Лето,Да
Ванкувер,Канада,2300,4.9,Горы у самого океана,"океан, горы, природа",9 дней,Прокат авто,https://i.ytimg.com/vi/HUl1wNW7ens/maxresdefault.jpg,5*,Лето,Да
Сеул,Корея,1600,4.8,К-поп и корейское барбекю,"технологии, еда, город",7 дней,Завтраки,https://img.pac.ru/resorts/213083/372207/big/889E3C6C7F00010159F1F4CD4D1BE306.jpg,5*,Круглый год,Нет
Чеджу,Корея,1400,4.7,Остров вулканов и пляжей,"природа, море, остров",6 дней,Завтраки,https://upload.wikimedia.org/wikipedia/commons/f/ff/Goseong-ri%2C_Seongsan-eup%2C_Seogwipo-si%2C_Jeju-do%2C_South_Korea_-_panoramio_-_song_songroov_%2851%29.jpg,4*,Лето,Нет
Сингапур,Сингапур,2200,4.9,Сады будущего и чистота,"город, технологии, природа",5 дней,Транспорт,https://avatars.mds.yandex.net/i?id=1df28c7b1dea869957131b99f4505028_l-5315900-images-thumbs&n=13,5*,Круглый год,Нет
Гонконг,Китай,1800,4.7,Пик Виктория и небоскребы,"город, горы, еда",6 дней,Трансфер,https://a.d-cd.net/VNPC8gDZt_2yE-Ar_smKUBvvzLk-1920.jpg,5*,Круглый год,Нет
Пекин,Китай,1200,4.6,Великая стена и Запретный город,"история, стена, культура",7 дней,Гид,https://hbh.ru/bridge/wp-content/uploads/2025/05/900_18_29.jpg.webp,4*,Весна/Осень,Нет
Шанхай,Китай,1400,4.8,Набережная Вайтань,"технологии, город, бизнес",6 дней,Завтраки,https://avatars.mds.yandex.net/i?id=8ce757fc2bfcc5e05a627cb554482970_l-4077387-images-thumbs&n=13,5*,Круглый год,Нет
Дели,Индия,800,4.3,Храм Лотоса и шумные рынки,"культура, история, еда",6 дней,Завтраки,https://avatars.dzeninfra.ru/get-zen_doc/271828/pub_6942d111ed2727112217d3db_6942d25a41a09c7809008f6f/scale_1200,3*,Зима,Да
Агра,Индия,950,4.9,Тадж-Махал и наследие моголов,"история, любовь, архитектура",4 дня,Гид,https://i.ytimg.com/vi/vpdP7K3Kzq8/maxresdefault.jpg,5*,Зима,Да
Гоа,Индия,700,4.5,Пляжи и транс-вечеринки,"море, пляж, музыка",10 дней,Все включено,https://cdn.getyourguide.com/img/tour/c265916bfc3a62c2a2827a50cffc227e608bb889b7afa72391da133ff62488a3.jpg/148.jpg,4*,Зима,Да
Катманду,Непал,1100,4.8,Горы Гималаи и храмы,"горы, природа, духовность",8 дней,Завтраки,https://gochina.ru/uploads/images/goroda-nepal/katmandu/gorod-kathmandu-2.jpg,5*,Весна/Осень,Нет
Рейкьявик,Исландия,2800,4.9,Северное сияние и гейзеры,"природа, холод, сияние",7 дней,Прокат авто,https://images.contentstack.io/v3/assets/blt06f605a34f1194ff/blt14fc04952b5900f1/6860011be933b57144043c79/einar-h-reynis-geYUKmAKZp0-unsplash-Header_Mobile.jpg?format=webp&quality=60&width=1440,5*,Зима,Да
Кейптаун,ЮАР,2400,4.8,Столовая гора и пингвины,"природа, океан, горы",10 дней,Завтраки,https://cdn.getyourguide.com/img/tour/5c1b996f7f8cf.jpeg/148.jpg,5*,Лето,Да
Маракеш,Марокко,900,4.7,Сады Мажорель и пустыня Сахара,"экзотика, пустыня, культура",7 дней,Ужин,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Djemaa_el_Fna%2C_evening.JPG/960px-Djemaa_el_Fna%2C_evening.JPG,4*,Весна/Осень,Да
Касабланка,Марокко,1000,4.5,Мечеть Хасана II,"океан, город, культура",6 дней,Завтраки,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Касабланка.jpg/1280px-Касабланка.jpg,4*,Круглый год,Да
Лима,Перу,2200,4.6,Серфинг на Тихом океане,"океан, еда, город",8 дней,Отель,https://images.contentstack.io/v3/assets/blt06f605a34f1194ff/blt9c84613c060b7465/67a8a36d286df04b38f34332/BCC-2024-EXPLORER-LIMA-LANDMARKS-HEADER-MOBILE.jpg?fit=crop&disable=upscale&auto=webp&quality=60&crop=smart&width=425&height=240&dpr=2,4*,Круглый год,Нет
Мачу-Пикчу,Перу,2600,4.9,Затерянный город инков,"история, горы, экзотика",4 дня,Поезд,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Machu_Picchu_%288606365100%29.jpg/1280px-Machu_Picchu_%288606365100%29.jpg,5*,Лето (сухой сезон),Нет
Дубровник,Хорватия,1400,4.8,Стены Королевской Гавани,"море, история, фото",6 дней,Завтраки,https://i.ytimg.com/vi/mTqoHWSTtZI/maxresdefault.jpg,5*,Лето,Да
Сплит,Хорватия,1200,4.7,Дворец Диоклетиана,"море, история, архитектура",7 дней,Завтраки,https://lp-cms-production.imgix.net/2023-02/shutterstockRF_349034636.jpg?auto=format,4*,Лето,Да
Ниагара,США,1000,4.8,Знаменитый водопад,"водопад, природа, фото",3 дня,Катер,https://media.istockphoto.com/id/1019149312/tr/fotoğraf/güneşli-bir-gün-niagara-şelalesi.jpg?s=170667a&w=0&k=20&c=jPLteNtVAHT05WW43PeJfVZ3Yp1kBZiFTS3c8zTLoJs=,5*,Лето,Да
Лапландия,Финляндия,2500,4.9,Деревня Санты и олени,"зима, сказка, холод",5 дней,Сани,https://i.ytimg.com/vi/-kSfNPgm3qM/maxresdefault.jpg,5*,Зима,Да
Хельсинки,Финляндия,1300,4.5,Дизайн и природа рядом,"город, север, уют",5 дней,Завтраки,https://avatars.mds.yandex.net/i?id=2be13856c10eeb675a201bf89d431dbb_l-11932091-images-thumbs&n=13,4*,Лето,Да
Эдинбург,Шотландия,1600,4.8,Средневековые замки,"история, замок, культура",5 дней,Завтраки,https://i.ytimg.com/vi/Kf93uo5fnoI/maxresdefault.jpg,5*,Лето,Да
Корк,Ирландия,1400,4.6,Зеленые холмы и пабы,"природа, пабы, уют",6 дней,Транспорт,https://farm1.staticflickr.com/880/42069992635_1fdc46266e_k.jpg,4*,Лето,Да
Мертвое море,Израиль,1200,4.7,Невесомость в соленой воде,"лечение, море, пустыня",6 дней,Отель,https://fs.tonkosti.ru/tonkosti/table_img/g142/1d1d/271445782.jpg,4*,Круглый год,Да
Иерусалим,Израиль,1100,4.9,Святые места трех религий,"история, религия, культура",5 дней,Гид,https://t3.ftcdn.net/jpg/06/59/81/92/360_F_659819294_N2yvxEyr8bEYghYS3n5iItNIclRMibP7.jpg,5*,Круглый год,Да
Петра,Иордания,1500,4.9,Древний город в скалах,"история, скалы, экзотика",3 дня,Входной билет,https://cdn.guidego.ru/images/61af3098fb14827a4910cfca.1600x1200.jpeg,5*,Весна/Осень,Нет
Коломбо,Шри-Ланка,900,4.4,Чайные плантации и океан,"природа, океан, чай",9 дней,Завтраки,https://t4.ftcdn.net/jpg/01/91/25/25/360_F_191252597_61MYgOzSbqGQkGBjUZK1kEr9BI2y4uu0.jpg,4*,Круглый год,Нет
Гавана,Куба,1800,4.7,Ретро-авто и сигары,"культура, история, море",10 дней,Все включено,https://irecommend.ru/sites/default/files/imagecache/copyright1/user-images/2875406/QIM8BvhWH21rWxI1W7JJw.jpg,5*,Зима,Да
Варадеро,Куба,1600,4.6,Лучшие пляжи Карибов,"пляж, море, релакс",11 дней,Все включено,https://tophotels.ru/icache/ratings_and_nominations_clip/1/290_3677052739_1200x800.jpg,4*,Зима,Да
Тенерифе,Испания,1400,4.8,Вулканический остров,"море, горы, вулкан",7 дней,Завтраки,https://i.pinimg.com/originals/2e/69/9e/2e699e4debdd8edff53c8ca26c034119.jpg,5*,Круглый год,Да
Тбилиси,Грузия,500,4.9,Гостеприимство и старый город,"история, еда, гостеприимство",5 дней,Вино,https://fs.tonkosti.ru/tonkosti/table_img/g142/e1e1/271545697.jpg,5*,Круглый год,Нет
Батуми,Грузия,600,4.7,Черное море и современные башни,"море, город, современность",7 дней,Завтраки,https://www.onetwotrip.com/ru/blog/wp-content/uploads/2025/04/shutterstock_2441340221.jpg,4*,Лето,Нет
Ереван,Армения,450,4.8,Розовый город и гора Арарат,"история, архитектура, еда",5 дней,Трансфер,https://avatars.mds.yandex.net/i?id=8ac10b1303b80a74bf3091ef23966fce_l-4600454-images-thumbs&n=13,5*,Круглый год,Нет
Баку,Азербайджан,600,4.8,Пламенные башни и старый город,"история, нефть, город",6 дней,Завтраки,https://media-cdn.tripadvisor.com/media/attractions-splice-spp-674x446/06/71/56/b6.jpg,5*,Круглый год,Нет
Самарканд,Узбекистан,400,4.9,Площадь Регистан и шелковый путь,"история, шелк, архитектура",4 дня,Гид,https://avatars.mds.yandex.net/i?id=79dca846ca8ed89c870578cfee6a1434_l-7092330-images-thumbs&n=13,5*,Весна/Осень,Нет
Бухара,Узбекистан,350,4.8,Атмосфера древнего Востока,"история, базары, культура",3 дня,Завтраки,https://fs.tonkosti.ru/sized/c960x400/c8/v8/c8v81i21xs84wsckww0o0s44w.jpg,4*,Весна/Осень,Нет
Бишкек,Кыргызстан,300,4.5,Горы Тянь-Шань рядом,"горы, природа, город",4 дня,Завтраки,https://i.pinimg.com/736x/4b/0e/43/4b0e435ecf67f5a16f6f8131f9eea673.jpg,3*,Круглый год,Нет
Иссык-Куль,Кыргызстан,400,4.7,Горное озеро с прозрачной водой,"вода, природа, отдых",7 дней,Полный пансион,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Issyk_Kul_Lake%2C_Issyk_Kul_region%2C_Kyrgyzstan.jpg/1280px-Issyk_Kul_Lake%2C_Issyk_Kul_region%2C_Kyrgyzstan.jpg,4*,Лето,Нет
Алматы,Казахстан,200,4.9,Город яблок и фонтанов,"город, горы, культура",4 дня,Заввраки,https://static.aviasales.com/psgr-v2/ru/almaty/gory_na_fone_Almaty_1_5f6fc4bc3d.jpg?,5*,Круглый год,Нет
Астана,Казахстан,250,4.7,Футуристическая архитектура столицы,"город, бизнес, архитектура",3 дня,Экскурсии,https://www.gov.kz/uploads/2020/5/28/5699c79bc40dd4780fcb4fc800ac5071_original.978652.jpeg,4*,Круглый год,Нет
Мангистау,Казахстан,500,4.9,Инопланетные пейзажи Устюрта,"пустыня, экзотика, природа",5 дней,Джип-тур,https://static.tildacdn.com/tild3831-3534-4166-a232-383964356336/DJI_20240419180357_0.jpg,5*,Весна/Осень,Нет
Зеренда,Казахстан,120,4.4,Тихий отдых в лесу,"природа, лес, тишина",4 дня,Питание,https://upload.wikimedia.org/wikipedia/commons/f/f6/Zerenda_June_02.jpg,3*,Лето,Нет
Каркаралинск,Казахстан,130,4.5,Горный оазис в степи,"горы, природа, пещеры",4 дня,Гид,https://i.ytimg.com/vi/AMeSx1B5q7U/maxresdefault.jpg,3*,Лето,Нет
Кендерли,Казахстан,400,4.3,Курорт на Каспии,"море, пляж, солнце",7 дней,Завтраки,https://www.zakon.kz/pbi/WEBP/2024-12-20/file-d74fe9fb-2885-471c-b846-1c174cc4eb91/800x450.webp,3*,Лето,Нет
Усть-Каменогорск,Казахстан,180,4.2,Ворота в Рудный Алтай,"горы, река, промышленность",4 дня,Завтраки,https://portal.s7cdn.online/api/v1/img/webp/static.s7cdn.online/hermes/KZ/UKK/S7_1900x700_oskemen1.jpg?iopts=q:75,3*,Круглый год,Нет
Павлодар,Казахстан,100,4.1,Набережная Иртыша,"город, река, прогулки",3 дня,Трансфер,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Вид_на_центральную_набережную_города_Павлодара.jpg/1280px-Вид_на_центральную_набережную_города_Павлодара.jpg,3*,Круглый год,Нет
Шымкент,Казахстан,150,4.6,Южное гостеприимство и еда,"еда, история, солнце",4 дня,Дегустации,https://upload.wikimedia.org/wikipedia/commons/9/9e/Панорама_Шымкента.jpg,4*,Весна/Осень,Нет
Риддер,Казахстан,200,4.8,Зимняя сказка и сугробы,"зима, лыжи, горы",5 дней,Снаряжение,https://framerusercontent.com/images/3acnJoOPCz7eIQ9UFi35ARjcFVo.jpg?width=1600&height=900,5*,Зима,Нет
Мальта,Мальта,1200,4.7,Рыцарский остров,"история, море, архитектура",7 дней,Завтраки,https://img.pac.ru/countries/213153/big/9219C4097F000101370A8D6183BC96AA.jpg,4*,Лето,Да
Сейшелы,Сейшелы,4000,4.9,Гранитные скалы и океан,"море, люкс, природа",10 дней,Вилла,https://www.kupibilet.ru/kland-storage/images/670x0/30x30/cities/sc/victoria/fc7d4060-c905-40ad-96d9-61617c6698de.webp,5* Luxe,Круглый год,Нет
Маврикий,Маврикий,3200,4.8,Подводный водопад,"океан, природа, пляж",9 дней,Завтраки,https://i.pinimg.com/736x/06/82/e2/0682e2a0f2c670b1c9fb6542978a8162.jpg,5*,Круглый год,Нет
Бора-Бора,Французская Полинезия,5000,5.0,Идеальный отдых над водой,"море, люкс, рай",7 дней,Все включено,https://t4.ftcdn.net/jpg/08/38/46/79/360_F_838467932_FHeCH8OtCkh1G07ekUaJIn50AxXd7QrC.jpg,5* Luxe,Круглый год,Да
Лангкави,Малайзия,1100,4.6,Остров легенд и мангров,"природа, море, остров",7 дней,Завтраки,https://www.atorus.ru/sites/default/files/styles/article_width/public/2025-01/ФОТО%2013%20На%20Лангави%20хорошо%20развита%20инфраструктура%2C%20много%20отелей.%20Малайзия.%20Фото%20АТОР.jpg.webp?itok=DGYrlCeN,4*,Круглый год,Нет
Куала-Лумпур,Малайзия,1000,4.7,Башни Петронас,"город, архитектура, еда",5 дней,Завтраки,https://i.ytimg.com/vi/wOSDE6Ls2qo/maxresdefault.jpg,4*,Круглый год,Нет
Вьетнам,Дананг,800,4.5,Мраморные горы и пляжи,"пляж, горы, история",8 дней,Все включено,https://i.ytimg.com/vi/MF6Jqmkv8eg/maxresdefault.jpg,4*,Весна/Лето,Нет
Фантьет,Вьетнам,700,4.4,Песчаные дюны у моря,"море, пустыня, кайт",9 дней,Все включено,https://www.quinta.ru/upload/iblock/758/igpwpyqhfj2uwhvnq4d24frjvzw0eujb/Mui-Ne-4.jpeg,4*,Зима,Нет
Манила,Филиппины,1200,4.3,Смесь испанского и азиатского,"город, культура, история",6 дней,Трансфер,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/27/e6/90/9e/caption.jpg?w=1400&h=1100&s=1&cx=1920&cy=1080&chk=v1_98d290c726259c64b704,3*,Круглый год,Нет
